Starting to process folder: /Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus
Found 3763 files to process in '/Users/shaamarl/Desktop/Projects/opensourceversions/Sundance-SMT/20241211-verus'
Using 8 parallel processes
[254/3763] splinterdb/journal__LinkedJournal_v.37.smt2 -> UNSAT
[255/3763] splinterdb/betree__LinkedBetree_v__LinkedBetreeVars.5.smt2 -> TIMEOUT
[256/3763] splinterdb/betree__PivotBranchRefinement_v.20.smt2 -> TIMEOUT
[257/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.29.smt2 -> TIMEOUT
[258/3763] splinterdb/spec__AppIO_t.2.smt2 -> UNKNOWN
[259/3763] splinterdb/allocation_layer__AllocationJournal_v.41.smt2 -> UNSAT
[260/3763] splinterdb/betree__LinkedBranch_v.52.smt2 -> UNSAT
[261/3763] splinterdb/betree__BufferSeq_v.5.smt2 -> UNSAT
[262/3763] splinterdb/betree__PivotBetree_v.14.smt2 -> UNKNOWN
[263/3763] splinterdb/marshalling__IntegerMarshalling_v.38.smt2 -> UNSAT
[264/3763] splinterdb/exec__MiniAllocator_v.10.smt2 -> UNKNOWN
[265/3763] splinterdb/betree__PagedBetree_v.29.smt2 -> UNKNOWN
[266/3763] splinterdb/marshalling__IntegerMarshalling_v.2.smt2 -> UNKNOWN
[267/3763] splinterdb/allocation_layer__AllocationJournal_v.16.smt2 -> UNSAT
[268/3763] splinterdb/betree__PivotBetree_v.43.smt2 -> UNSAT
[269/3763] splinterdb/journal__PagedJournalRefinement_v.21.smt2 -> UNKNOWN
[270/3763] splinterdb/betree__LinkedBetree_v.48.smt2 -> UNSAT
[271/3763] splinterdb/betree__PagedBetreeRefinement_v.20.smt2 -> UNKNOWN
[272/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.34.smt2 -> TIMEOUT
[273/3763] splinterdb/betree__FilteredBetree_v.13.smt2 -> UNKNOWN
[274/3763] splinterdb/betree__PivotBetreeRefinement_v.27.smt2 -> TIMEOUT
[275/3763] splinterdb/betree__Memtable_v.11.smt2 -> UNKNOWN
[276/3763] splinterdb/journal__PagedJournal_v.31.smt2 -> UNKNOWN
[277/3763] splinterdb/betree__PivotBranch_v.6.smt2 -> UNKNOWN
[278/3763] splinterdb/betree__BufferOffsets_v.10.smt2 -> UNKNOWN
[279/3763] splinterdb/betree__PivotBranch_v.18.smt2 -> UNSAT
[280/3763] splinterdb/betree__LinkedBranch_v.13.smt2 -> UNSAT
[281/3763] splinterdb/journal__PagedJournal_v.27.smt2 -> UNKNOWN
[282/3763] splinterdb/journal__PagedJournal_v__PagedJournal.1.smt2 -> UNSAT
[283/3763] splinterdb/allocation_layer__AllocationJournal_v.8.smt2 -> UNKNOWN
[284/3763] splinterdb/allocation_layer__LikesJournal_v.10.smt2 -> UNKNOWN
[285/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.6.smt2 -> UNSAT
[286/3763] splinterdb/betree__PivotBetree_v.5.smt2 -> UNKNOWN
[287/3763] splinterdb/abstract_system__MsgHistory_v.25.smt2 -> UNSAT
[288/3763] splinterdb/abstract_system__MsgHistory_v.9.smt2 -> UNSAT
[289/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v__UnifiedCrashAwareJournal.9.smt2 -> TIMEOUT
[290/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.7.smt2 -> UNSAT
[291/3763] splinterdb/betree__LinkedBranch_v__Refinement_v.18.smt2 -> TIMEOUT
[292/3763] splinterdb/betree__PagedBetreeRefinement_v.36.smt2 -> UNKNOWN
[293/3763] splinterdb/journal__LinkedJournalRefinement_v.27.smt2 -> TIMEOUT
[294/3763] splinterdb/allocation_layer__LikesJournal_v.9.smt2 -> UNSAT
[295/3763] splinterdb/betree__LinkedBranch_v.44.smt2 -> UNSAT
[296/3763] splinterdb/allocation_layer__AllocationJournalRefinement_v.2.smt2 -> UNSAT
[297/3763] splinterdb/journal__PagedJournalRefinement_v.2.smt2 -> UNKNOWN
[298/3763] splinterdb/betree__BufferSeq_v.10.smt2 -> UNKNOWN
[299/3763] splinterdb/betree__BufferDisk_v.10.smt2 -> UNSAT
[300/3763] splinterdb/betree__LinkedBetree_v.7.smt2 -> UNKNOWN
[301/3763] splinterdb/abstract_system__AbstractCrashAwareSystemRefinement_v.13.smt2 -> UNKNOWN
[302/3763] splinterdb/betree__Utils_v.5.smt2 -> UNKNOWN
[303/3763] splinterdb/betree__LinkedBranch_v.33.smt2 -> UNSAT
[304/3763] splinterdb/journal__LinkedJournalRefinement_v.11.smt2 -> UNKNOWN
[305/3763] splinterdb/betree__PagedBetreeRefinement_v.1.smt2 -> UNKNOWN
[306/3763] splinterdb/allocation_layer__LikesJournalRefinement_v.1.smt2 -> UNSAT
[307/3763] splinterdb/betree__FilteredBetree_v.25.smt2 -> UNSAT
[308/3763] splinterdb/betree__PivotBetreeRefinement_v.4.smt2 -> UNKNOWN
[309/3763] splinterdb/betree__LinkedBetree_v.91.smt2 -> UNSAT
[310/3763] splinterdb/allocation_layer__AllocationJournal_v.20.smt2 -> UNSAT
[311/3763] splinterdb/betree__PagedBetreeRefinement_v.16.smt2 -> UNKNOWN
[312/3763] splinterdb/betree__LinkedBetree_v.29.smt2 -> UNKNOWN
[313/3763] splinterdb/journal__PagedJournalRefinement_v.17.smt2 -> UNKNOWN
[314/3763] splinterdb/betree__PivotBetree_v.22.smt2 -> UNSAT
[315/3763] splinterdb/betree__Buffer_v.4.smt2 -> UNSAT
[316/3763] splinterdb/allocation_layer__LikesJournal_v.30.smt2 -> TIMEOUT
[317/3763] splinterdb/betree__LinkedBranch_v.64.smt2 -> UNKNOWN
[318/3763] splinterdb/betree__BufferDisk_v.7.smt2 -> UNKNOWN
[319/3763] splinterdb/betree__Domain_v.2.smt2 -> UNSAT
[320/3763] splinterdb/betree__PivotBetreeRefinement_v.11.smt2 -> UNSAT
[321/3763] splinterdb/marshalling__IntegerMarshalling_v.18.smt2 -> UNKNOWN
[322/3763] splinterdb/exec__MiniAllocator_v.2.smt2 -> UNSAT
[323/3763] splinterdb/allocation_layer__AllocationJournal_v__AllocationJournal.14.smt2 -> OTHER
[324/3763] splinterdb/betree__PivotBetree_v.34.smt2 -> UNKNOWN
[325/3763] splinterdb/allocation_layer__UnifiedCrashAwareJournal_v.6.smt2 -> UNSAT
[326/3763] splinterdb/betree__FilteredBetreeRefinement_v.29.smt2 -> UNKNOWN
[327/3763] splinterdb/abstract_system__MsgHistory_v.13.smt2 -> UNSAT
[328/3763] splinterdb/journal__LinkedJournal_v.8.smt2 -> UNSAT
[329/3763] splinterdb/betree__LinkedBranch_v.4.smt2 -> UNSAT
[330/3763] splinterdb/allocation_layer__MiniAllocator_v.8.smt2 -> UNSAT
